Name	Field	N	Type	RA	Dec		
OGLE-LMC-RRLYR-00225	LMC152.5	389	RRab	04:36:20.15	-66:40:51.10		
OGLE-LMC-RRLYR-00226	LMC155.1	769	RRab	04:36:20.56	-68:52:03.20		
OGLE-LMC-RRLYR-00228	LMC151.8	4719	RRab	04:36:20.98	-70:36:45.70		
OGLE-LMC-RRLYR-00229	LMC154.1	559	RRab	04:36:21.98	-68:16:31.70		
OGLE-LMC-RRLYR-00230	LMC152.7	3335	RRab	04:36:22.26	-67:01:58.60		
OGLE-LMC-RRLYR-00231	LMC150.5	631	RRab	04:36:23.92	-69:40:32.60		
OGLE-LMC-RRLYR-00232	LMC154.2	540	RRab	04:36:24.30	-68:10:03.60		
OGLE-LMC-RRLYR-00234	LMC156.4	5507	RRab	04:36:27.13	-69:02:40.20		
OGLE-LMC-RRLYR-00235	LMC151.6	5115	RRab	04:36:31.65	-70:17:35.00		
OGLE-LMC-RRLYR-00236	LMC156.3	5576	RRab	04:36:31.67	-69:14:42.10		
OGLE-LMC-RRLYR-00238	LMC156.3	5587	RRab	04:36:33.61	-69:07:56.40		
OGLE-LMC-RRLYR-00239	LMC155.4	5382	RRab	04:36:36.44	-68:25:35.80		
OGLE-LMC-RRLYR-00240	LMC152.8	2837	RRab	04:36:37.62	-67:06:42.60		
OGLE-LMC-RRLYR-00241	LMC155.1	5278	RRab	04:36:37.90	-68:55:31.60		
OGLE-LMC-RRLYR-00244	LMC153.5	3273	RRab	04:36:41.21	-67:18:23.00		
OGLE-LMC-RRLYR-00245	LMC150.8	666	RRab	04:36:43.82	-69:59:52.80		
OGLE-LMC-RRLYR-00246	LMC149.7	574	RRab	04:36:44.95	-69:23:16.00		
OGLE-LMC-RRLYR-00248	LMC153.7	3614	RRab	04:36:46.08	-67:29:42.30		
OGLE-LMC-RRLYR-00249	LMC151.6	5791	RRab	04:36:46.86	-70:24:44.60		
OGLE-LMC-RRLYR-00251	LMC150.8	716	RRab	04:36:50.50	-70:04:48.90		
OGLE-LMC-RRLYR-00254	LMC155.3	5813	RRab	04:36:55.08	-68:31:11.90		
OGLE-LMC-RRLYR-00256	LMC151.6	5265	RRab	04:36:57.39	-70:23:48.00		
OGLE-LMC-RRLYR-00257	LMC152.6	2947	RRab	04:36:58.65	-66:44:09.30		
OGLE-LMC-RRLYR-00258	LMC154.3	556	RRab	04:36:59.31	-67:57:41.70		
OGLE-LMC-RRLYR-00261	LMC153.4	340	RRab	04:37:03.27	-67:13:53.60		
