OGLE-LMC-RRLYR-00130	18.731	19.32	0.5699853	04:34:36.23	-68:04:27.40	0.57
OGLE-LMC-RRLYR-00131	18.954	19.591	0.5520916	04:34:38.81	-70:01:15.70	0.5521
OGLE-LMC-RRLYR-00132	18.806	19.493	0.628797	04:34:38.90	-69:03:29.40	0.6288
OGLE-LMC-RRLYR-00133	18.638	19.259	0.6030569	04:34:39.38	-69:47:35.60	0.6031
OGLE-LMC-RRLYR-00137	18.824	19.466	0.5996973	04:34:45.91	-69:14:36.90	0.5997
OGLE-LMC-RRLYR-00138	18.767	19.339	0.553547	04:34:45.95	-67:21:05.20	0.5535
OGLE-LMC-RRLYR-00139	18.723	19.337	0.6199921	04:34:46.46	-69:43:51.80	0.62
OGLE-LMC-RRLYR-00142	18.682	19.377	0.6419088	04:34:48.30	-68:57:18.50	0.6419
OGLE-LMC-RRLYR-00144	18.852	19.415	0.5122598	04:34:50.64	-69:31:19.50	0.5123
OGLE-LMC-RRLYR-00145	18.824	19.459	0.6144425	04:34:53.62	-70:06:38.20	0.6144
OGLE-LMC-RRLYR-00146	19.067	19.557	0.4813701	04:34:56.88	-69:22:00.40	0.48136
OGLE-LMC-RRLYR-00147	18.768	19.369	0.6463426	04:34:57.78	-67:37:04.80	0.6463
OGLE-LMC-RRLYR-00148	18.727	19.349	0.6145529	04:34:58.42	-70:21:07.40	0.6146
OGLE-LMC-RRLYR-00149	18.458	19.098	0.7683664	04:34:58.77	-68:19:24.40	0.7684
OGLE-LMC-RRLYR-00151	19.105	19.75	0.4122173	04:35:00.91	-67:15:17.80	0.4122
OGLE-LMC-RRLYR-00152	18.799	19.449	0.6183497	04:35:01.28	-70:35:47.20	0.6183
OGLE-LMC-RRLYR-00153	18.93	19.502	0.5264912	04:35:03.80	-70:15:02.80	0.5265
OGLE-LMC-RRLYR-00154	18.604	19.146	0.6388618	04:35:06.16	-68:31:21.90	0.6389
OGLE-LMC-RRLYR-00155	18.853	19.433	0.5419589	04:35:06.69	-69:37:59.40	0.5419
OGLE-LMC-RRLYR-00156	18.812	19.395	0.5826314	04:35:06.70	-67:16:15.50	0.5826
OGLE-LMC-RRLYR-00157	19.002	19.599	0.5847229	04:35:07.14	-69:16:44.40	0.5847
